loaded 130765
[counter] model=claude-opus-4-7 baseline(§§)=13
[mega] resume: 0 already done, 130765 pending
[mega] 124000/130765 hits=344 rpm~2982 conc=300 inflight=0 429=1
[mega] 124500/130765 hits=345 rpm~2978 conc=300 inflight=204 429=1
[mega] 125000/130765 hits=345 rpm~2981 conc=300 inflight=0 429=1
[mega] 125500/130765 hits=345 rpm~2977 conc=300 inflight=295 429=1
[mega] 126000/130765 hits=346 rpm~2980 conc=300 inflight=38 429=1
[mega] 126500/130765 hits=346 rpm~2976 conc=300 inflight=298 429=1
[mega] 127000/130765 hits=347 rpm~2977 conc=300 inflight=218 429=1
[mega] 127500/130765 hits=347 rpm~2979 conc=300 inflight=185 429=1
[mega] 128000/130765 hits=347 rpm~2981 conc=300 inflight=0 429=1
[mega] 128500/130765 hits=347 rpm~2978 conc=300 inflight=275 429=1
[mega] 129000/130765 hits=347 rpm~2980 conc=300 inflight=0 429=1
[mega] 129500/130765 hits=347 rpm~2977 conc=300 inflight=256 429=1
[mega] 130000/130765 hits=348 rpm~2980 conc=300 inflight=0 429=1
[mega] 130500/130765 hits=348 rpm~2977 conc=300 inflight=265 429=1
[mega] done. probed=130765 hits=348 checked_total=130765
