PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
`rope_parameters`'s factor field must be a float >= 1, got 40
`rope_parameters`'s beta_fast field must be a float, got 32
`rope_parameters`'s beta_slow field must be a float, got 1
already probed: 908800
tiktoken cl100k_base: +99479
tiktoken o200k_base: +114048
tiktoken gpt2: +5337
tiktoken r50k_base: +0
tiktoken p50k_base: +0
hf Qwen/Qwen2.5-0.5B: +37111
hf bigscience/bloom: +143610
hf facebook/mbart-large-50: +165028
hf google/mt5-base: +92365
hf xlm-roberta-base: +0
hf baichuan-inc/Baichuan2-7B-Base: +45268
hf deepseek-ai/DeepSeek-V2-Lite: +13141
[hf] skip Salesforce/codet5p-220m: Input must be a List[Union[str, AddedToken]]
hf Salesforce/codet5p-220m: +0
hf EleutherAI/gpt-neox-20b: +2335
hf microsoft/deberta-v3-base: +59978
hf sentence-transformers/LaBSE: +312857
total unique: 1090557, NEW: 887622
[counter] model=claude-opus-4-7 baseline(§§)=13
[full] resume: 0 already done, 887622 pending
[full] 570000/887622 hits=431 rpm~2560 conc=300 inflight=0 429=1301
[full] 572000/887622 hits=432 rpm~2561 conc=300 inflight=299 429=1301
[full] 574000/887622 hits=432 rpm~2562 conc=300 inflight=295 429=1301
[full] 576000/887622 hits=436 rpm~2564 conc=300 inflight=0 429=1301
[full] 578000/887622 hits=436 rpm~2565 conc=300 inflight=286 429=1301
[full] 580000/887622 hits=439 rpm~2567 conc=300 inflight=0 429=1301
[full] 582000/887622 hits=439 rpm~2567 conc=300 inflight=288 429=1301
[full] 584000/887622 hits=442 rpm~2569 conc=300 inflight=234 429=1301
[full] 586000/887622 hits=444 rpm~2570 conc=300 inflight=299 429=1301
[full] 588000/887622 hits=445 rpm~2571 conc=300 inflight=136 429=1301
[full] 590000/887622 hits=448 rpm~2573 conc=300 inflight=0 429=1301
[full] 592000/887622 hits=450 rpm~2574 conc=300 inflight=215 429=1301
[full] 594000/887622 hits=452 rpm~2575 conc=300 inflight=36 429=1301
[full] 596000/887622 hits=452 rpm~2576 conc=300 inflight=74 429=1301
[full] 598000/887622 hits=456 rpm~2578 conc=300 inflight=43 429=1301
[full] 600000/887622 hits=458 rpm~2579 conc=300 inflight=0 429=1301
[full] 602000/887622 hits=459 rpm~2579 conc=300 inflight=299 429=1301
[full] 604000/887622 hits=459 rpm~2581 conc=300 inflight=215 429=1301
